X, Y, Z, Vx, Vy, Vz, T
1.400572963741986365e+00, -2.587020508461304491e+00, -5.323675819714711679e+02, 1.138326005894203519e+00, -2.433295238954520379e+00, -3.122682835285262026e+00, 6.181423091888427734e+01
1.383073727994688529e+00, -2.590207448851751693e+00, -5.322870876543736358e+02, 1.118967345256215884e+00, -2.434158803505579449e+00, -3.133396725983481623e+00, 6.185728025436401367e+01
1.369535331410141943e+00, -2.592903737646143902e+00, -5.318547632095240942e+02, 1.101135790318530150e+00, -2.434111007762507217e+00, -3.130811339238814828e+00, 6.190064334869384766e+01
1.351971499274667421e+00, -2.596178623671292041e+00, -5.316823144035199675e+02, 1.092125844059310458e+00, -2.435154838236263330e+00, -3.133971138554882518e+00, 6.194362354278564453e+01
1.336564732840024750e+00, -2.600198567005589378e+00, -5.316962768228038385e+02, 1.074903565246290160e+00, -2.435608604808325417e+00, -3.137705143006141117e+00, 6.198620319366455078e+01
1.320415858340431736e+00, -2.605254501057182814e+00, -5.321128424495475429e+02, 1.060342459537664483e+00, -2.435922991052606790e+00, -3.132197628703758063e+00, 6.202873373031616211e+01
1.303662744481298263e+00, -2.608845118789829609e+00, -5.321607980904569786e+02, 1.041120044937909439e+00, -2.436012120516945156e+00, -3.131581025941160501e+00, 6.207186889648437500e+01
1.287652160256212763e+00, -2.612980822038239115e+00, -5.322768200981633981e+02, 1.023145915675331086e+00, -2.437006259808710773e+00, -3.119659582521800090e+00, 6.211435413360595703e+01
1.273462046320907648e+00, -2.616676552546047585e+00, -5.323738764449063865e+02, 1.009505139636891480e+00, -2.438550876795270383e+00, -3.132123669038823000e+00, 6.215766668319702148e+01
1.258912317293382932e+00, -2.620639615291062263e+00, -5.324587546428314226e+02, 9.935735440276655117e-01, -2.439699706851787386e+00, -3.135446575322518026e+00, 6.220022559165954590e+01
1.242889187182249389e+00, -2.624909681776224080e+00, -5.323894429459223829e+02, 9.783413279311001798e-01, -2.439113642520057024e+00, -3.134719952712702984e+00, 6.224274110794067383e+01
1.229125329862430505e+00, -2.628744623214181342e+00, -5.322804472764678394e+02, 9.678122101739440319e-01, -2.438992670670146357e+00, -3.134090791473810533e+00, 6.228513455390930176e+01
1.214360510725057685e+00, -2.632772054439396214e+00, -5.324799598002946368e+02, 9.503179378762978136e-01, -2.441463778047424871e+00, -3.138426032733083293e+00, 6.232785534858703613e+01
1.199208658194564903e+00, -2.636906210662474326e+00, -5.324643260619774310e+02, 9.343933083467796941e-01, -2.441328304024683149e+00, -3.128474564796400070e+00, 6.237082719802856445e+01
1.183280461443662945e+00, -2.641039075071451858e+00, -5.323570930352491359e+02, 9.205172976337285817e-01, -2.443389820197553242e+00, -3.136903289066907963e+00, 6.241352534294128418e+01
1.171853661222275189e+00, -2.643587925106228642e+00, -5.322593890133532568e+02, 9.057371703537604457e-01, -2.446152346149152113e+00, -3.123782998513921161e+00, 6.245611691474914551e+01
1.157093037788751166e+00, -2.647161757603290866e+00, -5.325234490583678735e+02, 8.902423586202606876e-01, -2.445710731758544920e+00, -3.133883566703372203e+00, 6.249885749816894531e+01
1.142554386957742807e+00, -2.651612853420235894e+00, -5.327690773813002352e+02, 8.779057337814906159e-01, -2.449084936228691056e+00, 3.139361718532455381e+00, 6.254180192947387695e+01
1.129626700177974730e+00, -2.655385998905039013e+00, -5.326070422006921490e+02, 8.639999999999999902e-01, -2.447000000000000064e+00, -3.125799999999999912e+00, 6.258473396301269531e+01
1.114561843941586750e+00, -2.658619110137658392e+00, -5.326873671695883559e+02, 8.512164781390869628e-01, -2.449346072428776111e+00, -3.132552027174211773e+00, 6.262711524963378906e+01
1.101830743020316916e+00, -2.661942801963166794e+00, -5.326505682245679054e+02, 8.353881646697760566e-01, -2.451576088113460283e+00, 3.133396064728642738e+00, 6.267014098167419434e+01
1.088191757524462844e+00, -2.666143162167645464e+00, -5.327513026849904918e+02, 8.214581792287237727e-01, -2.451810890663760123e+00, 3.140782291668057891e+00, 6.271248459815979004e+01
1.074109128307192407e+00, -2.670398260163330040e+00, -5.328494278600213647e+02, 8.047740750480875116e-01, -2.453623141876993596e+00, -3.138958148004593607e+00, 6.275516891479492188e+01
1.063235674719195112e+00, -2.674222462703821801e+00, -5.328099069953734670e+02, 7.914156224849091537e-01, -2.455227667076428144e+00, 3.128794354838555947e+00, 6.279767179489135742e+01
1.049034315836189224e+00, -2.678627896704495637e+00, -5.326626464019259402e+02, 7.790000000000000258e-01, -2.459000000000000075e+00, 3.137999999999999901e+00, 6.284031271934509277e+01
1.035532326230129252e+00, -2.682327210657040162e+00, -5.325413833844597775e+02, 7.648365558500792583e-01, -2.461720551009882740e+00, -3.136951908349225437e+00, 6.288272738456726074e+01
1.021745844325657293e+00, -2.685722610516734221e+00, -5.324860183697559251e+02, 7.517542294801388136e-01, -2.462658846840112048e+00, 3.129673307986056141e+00, 6.292509651184082031e+01
1.009374885737786220e+00, -2.688456811806086311e+00, -5.323084698585519163e+02, 7.385359687716964716e-01, -2.467084608073045970e+00, 3.136100999406456591e+00, 6.296765661239624023e+01
9.976450096040253568e-01, -2.691374849433621375e+00, -5.323482763880339235e+02, 7.265702947880804397e-01, -2.464725495349748385e+00, -3.140201887925467172e+00, 6.300995302200317383e+01
9.845026294207230855e-01, -2.695522918551057412e+00, -5.321784184276885981e+02, 7.125231707359107602e-01, -2.467145517976391034e+00, 3.140608657984265584e+00, 6.305202674865722656e+01
9.724370033227828225e-01, -2.699749160124899294e+00, -5.322547618136032952e+02, 7.019999999999999574e-01, -2.467000000000000082e+00, -3.131800000000000139e+00, 6.309472107887268066e+01
9.594420050900747121e-01, -2.704470996469277910e+00, -5.323199330819614943e+02, 6.869152926131593118e-01, -2.468810228792028383e+00, -3.131299999999999972e+00, 6.313715291023254395e+01
9.457217941075478640e-01, -2.708687151995445408e+00, -5.321736832316538539e+02, 6.730226370224098309e-01, -2.471246616796654916e+00, -3.128400000000000070e+00, 6.317939376831054688e+01
9.350007267188831239e-01, -2.710906166745836732e+00, -5.320677120012677506e+02, 6.641526398998348624e-01, -2.472666809523386799e+00, -3.137806584504570839e+00, 6.322162604331970215e+01
9.220657572800389223e-01, -2.714301819032500340e+00, -5.322226296855418468e+02, 6.502317527140550890e-01, -2.475547068479012403e+00, -3.136356534246911743e+00, 6.326421070098876953e+01
9.089015546348848673e-01, -2.718312417332029440e+00, -5.323009502767411050e+02, 6.345998889359082407e-01, -2.478408212937664779e+00, -3.134503823660149457e+00, 6.330672192573547363e+01
8.956260643020766965e-01, -2.722483106917541029e+00, -5.322836509068756641e+02, 6.270000000000000018e-01, -2.475999999999999979e+00, -3.127800000000000136e+00, 6.334942579269409180e+01
8.843802305277409515e-01, -2.726722631821475673e+00, -5.320004848757192804e+02, 6.124129257348471800e-01, -2.478727047634783798e+00, -3.134799999999999809e+00, 6.339423155784606934e+01
8.722152602201578286e-01, -2.730808363451829202e+00, -5.319434620579547754e+02, 6.006098551572102151e-01, -2.479164210521074274e+00, -3.127748330814327460e+00, 6.343677067756652832e+01
8.593618012840885667e-01, -2.735021337536779562e+00, -5.321811660989662869e+02, 5.855978957793135375e-01, -2.482401839179167347e+00, -3.125982501201264974e+00, 6.347964024543762207e+01
8.462264510020149899e-01, -2.738951926406773207e+00, -5.320419050308353235e+02, 5.731420765410378815e-01, -2.485704953679818363e+00, -3.129455844729949199e+00, 6.352274751663208008e+01
8.334230560529061194e-01, -2.742469611655603767e+00, -5.321258094226151343e+02, 5.605247317899597626e-01, -2.487152906856163082e+00, -3.125900000000000123e+00, 6.356507754325866699e+01
8.240979462229736097e-01, -2.745781327617366596e+00, -5.330138831955142678e+02, 5.485237249707083373e-01, -2.487180105618220782e+00, -3.123545244534016607e+00, 6.360760426521301270e+01
8.166863616271844428e-01, -2.751075760203784082e+00, -5.384414915331284419e+02, 5.359674564873524449e-01, -2.488809743592276469e+00, -3.138251334999273556e+00, 6.364977836608886719e+01
8.119811613810240525e-01, -2.753250418826230561e+00, -5.460255654720755274e+02, 5.266929524623691350e-01, -2.489954551242018699e+00, 3.088744442687807013e+00, 6.369316053390502930e+01
8.095814356065140771e-01, -2.754851981067424571e+00, -5.550091660532895048e+02, 5.175438599301729337e-01, -2.489166256799981713e+00, 3.044089995474865695e+00, 6.373570394515991211e+01
8.099950534519305689e-01, -2.755149789212238964e+00, -5.631222933261874459e+02, 5.083499226012071492e-01, -2.490995766649796828e+00, 2.993573732180957236e+00, 6.377858972549438477e+01
8.105107363778398799e-01, -2.754905079843068094e+00, -5.685008247120322267e+02, 5.000645372207520589e-01, -2.494039092237219091e+00, 2.908131587660563344e+00, 6.382165145874023438e+01
8.115922199745901899e-01, -2.755074457979417524e+00, -5.741195923187580092e+02, 4.972330635547199118e-01, -2.493884230506218103e+00, 2.779068877376385860e+00, 6.386219286918640137e+01
8.121603398040366795e-01, -2.755097150523832639e+00, -5.779259036535930818e+02, 4.963201808227997169e-01, -2.494072380165841096e+00, 2.650954793575523993e+00, 6.390182709693908691e+01
8.128220296401386102e-01, -2.755513046695615920e+00, -5.822094186120533550e+02, 4.973041284126863415e-01, -2.493942723679044349e+00, 2.557359479960604087e+00, 6.394205689430236816e+01
8.131308979690831107e-01, -2.755729342266236781e+00, -5.855848307330393254e+02, 5.001745438475867500e-01, -2.494380654213903092e+00, 2.382995143841155627e+00, 6.398181390762329102e+01
8.128857178288547702e-01, -2.756065554074900170e+00, -5.895068725155921356e+02, 5.001776101990669243e-01, -2.494099178765778024e+00, 2.320919176544668616e+00, 6.402257370948791504e+01
8.131271667069724929e-01, -2.755894340322952996e+00, -5.924765922265956988e+02, 5.007109152909730021e-01, -2.495368003269677448e+00, 2.248770719339415081e+00, 6.406262516975402832e+01
